Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.77     0.00    84552     0.00     0.00  std::_Hashtable<long long, long long, std::allocator<long long>, std::__detail::_Identity, std::equal_to<long long>, std::hash<long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(std::__detail::_Hash_node<long long, false>*) const
  0.00      0.77     0.00    80400     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.77     0.00    80400     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.77     0.00    78513     0.00     0.00  std::_Hashtable<long long, long long, std::allocator<long long>, std::__detail::_Identity, std::equal_to<long long>, std::hash<long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(long long const&, unsigned long) const
  0.00      0.77     0.00    78513     0.00     0.00  std::__detail::_Hash_code_base<long long, long long, std::__detail::_Identity, std::hash<long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(long long const&, unsigned long, unsigned long) const
  0.00      0.77     0.00    78501     0.00     0.00  std::__detail::_Hash_node_base::_Hash_node_base()
  0.00      0.77     0.00    78500     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<long long, false> >::deallocate(std::__detail::_Hash_node<long long, false>*, unsigned long)
  0.00      0.77     0.00    78500     0.00     0.00  void __gnu_cxx::new_allocator<std::__detail::_Hash_node<long long, false> >::destroy<long long>(long long*)
  0.00      0.77     0.00    78500     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<long long, false> >::allocate(unsigned long, void const*)
  0.00      0.77     0.00    78500     0.00     0.00  void __gnu_cxx::new_allocator<std::__detail::_Hash_node<long long, false> >::construct<long long, long long const&>(long long*, long long const&)
  0.00      0.77     0.00    78500     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<long long, false> >::_M_max_size() const
  0.00      0.77     0.00    78500     0.00     0.00  std::_Hashtable<long long, long long, std::allocator<long long>, std::__detail::_Identity, std::equal_to<long long>, std::hash<long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_node(unsigned long, long long const&, unsigned long) const
  0.00      0.77     0.00    78500     0.00     0.00  std::_Hashtable<long long, long long, std::allocator<long long>, std::__detail::_Identity, std::equal_to<long long>, std::hash<long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_before_node(unsigned long, long long const&, unsigned long) const
  0.00      0.77     0.00    78500     0.00     0.00  std::__detail::_Hash_node<long long, false>* std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<long long, false> > >::operator()<long long const&>(long long const&) const
  0.00      0.77     0.00    78500     0.00     0.00  std::__detail::_Hash_code_base<long long, long long, std::__detail::_Identity, std::hash<long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(long long const&) const
  0.00      0.77     0.00    78500     0.00     0.00  std::__detail::_Hash_code_base<long long, long long, std::__detail::_Identity, std::hash<long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_store_code(std::__detail::_Hash_node<long long, false>*, unsigned long) const
  0.00      0.77     0.00    78500     0.00     0.00  std::__detail::_Prime_rehash_policy::_M_state() const
